#node	date	numeric date
RVA/Human-wt/KEN/KLF0670/2013/G1P8	2013-07-27	2013.568493
NODE_0000207	2012-08-09	2012.604248
NODE_0000208	2013-03-03	2013.169741
NODE_0000002	2013-09-02	2013.668697
RVA/Human-wt/KEN/KLF0735/2014/G1P8	2014-07-18	2014.543836
NODE_0000003	2014-07-18	2014.543836
RVA/Human-wt/KEN/KLF0736/2014/G1P8	2014-07-18	2014.543836
RVA/Human-wt/KEN/KLF0745/2014/G1P8	2014-08-13	2014.615068
NODE_0000211	2013-03-03	2013.169741
RVA/Human-wt/KEN/KLF1041/2013/G1P8	2013-06-23	2013.475342
NODE_0000217	2013-04-30	2013.327397
RVA/Human-wt/KEN/KLF0635/2013/G1P8	2013-04-30	2013.327397
NODE_0000218	2013-06-06	2013.428767
RVA/Human-wt/KEN/KLF1039/2013/G1P8	2013-06-06	2013.428767
RVA/Human-wt/KEN/KLF0674/2013/G1P8	2013-08-12	2013.612329
NODE_0000008	2012-11-05	2012.845024
RVA/Human-wt/KEN/KLF0654/2013/G1P8	2013-06-09	2013.436986
RVA/Human-wt/KEN/KLF0647/2013/G1P8	2013-06-04	2013.423288
RVA/Human-wt/KEN/KLF0680/2013/G1P8	2013-09-05	2013.678082
NODE_0000257	2013-02-16	2013.127767
RVA/Human-wt/KEN/KLF0666/2013/G1P8	2013-07-02	2013.500000
NODE_0000222	2013-05-25	2013.397221
RVA/Human-wt/KEN/KLF0696/2014/G1P8	2014-02-22	2014.143836
NODE_0000224	2013-05-28	2013.404110
RVA/Human-wt/KEN/KLF0644/2013/G1P8	2013-05-28	2013.404110
NODE_0000225	2013-06-21	2013.469863
RVA/Human-wt/KEN/KLF0661/2013/G1P8	2013-06-21	2013.469863
NODE_0000233	2013-07-05	2013.508219
RVA/Human-wt/KEN/KLF1042/2013/G1P8	2013-07-05	2013.508219
NODE_0000234	2013-07-27	2013.568493
RVA/Human-wt/KEN/KLF0671/2013/G1P8	2013-07-27	2013.568493
NODE_0000241	2013-09-17	2013.710959
RVA/Human-wt/KEN/KLF0689/2013/G1P8	2013-10-19	2013.798630
RVA/Human-wt/KEN/KLF0685/2013/G1P8	2013-09-17	2013.710959
NODE_0000044	2009-12-29	2009.993753
KP882704.1_RVA/Human-wt/KEN/Keny-058/2009/G1P8	--	--
KJ753085.1_RVA/Human-wt/ZAF/MRC-DPRU135/2009/G1P8	--	--
RVA/Human-wt/KEN/KLF0687/2013/G1P8	2013-09-25	2013.732877
KJ753427.1_RVA/Human-wt/UGA/MRC-DPRU4595/2011/G9P8	--	--
NODE_0000045	2011-02-09	2011.107947
RVA/Human-wt/KEN/KLF0567/2012/G1P8	2012-06-05	2012.427596
KJ919662.1_RVA/Human-wt/HUN/ERN5195/2012/G9P8	--	--
NODE_0000049	--	--
KP753260.1_RVA/Human-wt/KEN/MRC-DPRU1608/2009/G1P8	--	--
KP882693.1_RVA/Human-wt/KEN/Keny-057/2009/G1P8	--	--
NODE_0000052	2010-10-28	2010.822269
RVA/Human-wt/KEN/KLF0566/2012/G1P8	2012-06-03	2012.422131
MH291316.1_RVA/Human-wt/KEN/3413/2016/G1P8	--	--
NODE_0000271	2011-09-28	2011.739732
NODE_0000247	2012-09-02	2012.669840
RVA/Human-wt/KEN/KLF0650/2013/G1P8	2013-06-05	2013.426027
NODE_0000250	2012-11-27	2012.905656
RVA/Human-wt/KEN/KLF0633/2013/G1P8	2013-04-13	2013.280822
NODE_0000255	2013-02-01	2013.085230
RVA/Human-wt/KEN/KLF0651/2013/G1P8	2013-06-08	2013.434247
NODE_0000057	2013-06-16	2013.457195
RVA/Human-wt/KEN/KLF0727/2014/G1P8	2014-06-24	2014.478082
RVA/Human-wt/KEN/KLF0721/2014/G1P8	2014-06-15	2014.453425
NODE_0000286	2013-09-18	2013.714687
RVA/Human-wt/KEN/KLF0724/2014/G1P8	2014-06-17	2014.458904
NODE_0000319	2013-09-27	2013.739555
NODE_0000064	2014-02-10	2014.111450
RVA/Human-wt/KEN/KLF0695/2014/G1P8	2014-02-21	2014.141096
RVA/Human-wt/KEN/KLF0707/2014/G1P8	2014-04-19	2014.297260
NODE_0000260	2014-03-13	2014.195890
RVA/Human-wt/KEN/KLF0697/2014/G1P8	2014-03-13	2014.195890
NODE_0000264	2014-03-20	2014.215068
RVA/Human-wt/KEN/KLF0699/2014/G1P8	2014-03-20	2014.215068
NODE_0000265	2014-04-13	2014.282153
RVA/Human-wt/KEN/KLF0705/2014/G1P8	2014-04-14	2014.283562
NODE_0000266	2014-04-16	2014.289041
RVA/Human-wt/KEN/KLF0738/2014/G1P8	2014-07-21	2014.552055
RVA/Human-wt/KEN/KLF0706/2014/G1P8	2014-04-16	2014.289041
NODE_0000066	2012-02-10	2012.111807
RVA/Human-wt/KEN/KLF0677/2013/G1P8	2013-08-30	2013.661644
NODE_0000067	2012-09-08	2012.687255
NODE_0000269	2012-11-21	2012.890698
RVA/Human-wt/KEN/KLF0648/2013/G1P8	2013-06-05	2013.426027
NODE_0000069	2013-04-06	2013.262919
RVA/Human-wt/KEN/KLF0642/2013/G1P8	2013-05-23	2013.390411
NODE_0000070	2013-06-16	2013.455258
RVA/Human-wt/KEN/KLF0682/2013/G1P8	2013-09-16	2013.708219
NODE_0000273	2013-09-17	2013.710959
RVA/Human-wt/KEN/KLF0684/2013/G1P8	2013-09-18	2013.713699
RVA/Human-wt/KEN/KLF0683/2013/G1P8	2013-09-17	2013.710959
NODE_0000072	2012-10-26	2012.818326
RVA/Human-wt/KEN/KLF0662/2013/G1P8	2013-06-25	2013.480822
RVA/Human-wt/KEN/KLF0664/2013/G1P8	2013-06-26	2013.483562
RVA/Human-wt/KEN/KLF0688/2013/G1P8	2013-09-28	2013.741096
NODE_0000074	2013-01-31	2013.082942
RVA/Human-wt/KEN/KLF1040/2013/G1P8	2013-06-13	2013.447945
RVA/Human-wt/KEN/KLF0675/2013/G1P8	2013-08-16	2013.623288
NODE_0000283	2013-01-08	2013.019404
RVA/Human-wt/KEN/KLF0643/2013/G1P8	2013-05-24	2013.393151
NODE_0000284	2013-05-15	2013.368493
RVA/Human-wt/KEN/KLF0638/2013/G1P8	2013-05-15	2013.368493
